ServerA,1, ,Method Call
SYSTEM,2," ""SYSTEM"""," ""System Start"""," "" """
main,3," ""SYSTEM"""," ""Thread Start"""," "" main (1)"""
main,4," ""SYSTEM"""," ""Type Load"""," "" class=java.lang.Object"""
main,5," ""SYSTEM"""," ""Type Load"""," "" class=ServerA"""
main,6," ""ServerA.java:17"""," ""Method Call"""," "" caller=SYSTEM"," target=ServerA#main:1"""
main,7," ""ServerA.java:14"""," ""Method Entered"""," "" """
main,8," ""SYSTEM"""," ""Type Load"""," "" class=java.lang.String"""
main,9," ""ServerA.java:14"""," ""New Object"""," "" object=java.lang.String[]:1"""
main,10," ""ServerA.java:14"""," ""Variable Write"""," "" context=ServerA#main:1"," args=java.lang.String[]:1"""
main,11," ""ServerA.java:17"""," ""Line Step"""," "" file=ServerA.java"," line=17"""
main,12," ""ServerA.java:17"""," ""Variable Write"""," "" context=ServerA#main:1"," ss=java.net.ServerSocket (id=25)"""
main,13," ""ServerA.java:23"""," ""Line Step"""," "" file=ServerA.java"," line=23"""
main,14," ""ServerA.java:23"""," ""Variable Write"""," "" context=ServerA#main:1"," s=null"""
main,15," ""ServerA.java:28"""," ""Line Step"""," "" file=ServerA.java"," line=28"""
main,16," ""ServerA.java:28"""," ""Variable Write"""," "" context=ServerA#main:1"," s=java.net.Socket (id=27)"""
main,17," ""ServerA.java:29"""," ""Line Step"""," "" file=ServerA.java"," line=29"""
main,18," ""ServerA.java:29"""," ""Variable Write"""," "" context=ServerA#main:1"," sock=""""Socket[addr=/127.0.0.1",port=44760,"localport=5056]"""""""
ServerA,19, ,Method Exit
ClientA2,20, ,Method Call
SYSTEM,21," ""SYSTEM"""," ""System Start"""," "" """
main,22," ""SYSTEM"""," ""Thread Start"""," "" main (1)"""
main,23," ""SYSTEM"""," ""Type Load"""," "" class=java.lang.Object"""
main,24," ""SYSTEM"""," ""Type Load"""," "" class=ClientA2"""
main,25," ""ClientA2.java:18"""," ""Method Call"""," "" caller=SYSTEM"," target=ClientA2#main:1"""
main,26," ""ClientA2.java:14"""," ""Method Entered"""," "" """
main,27," ""SYSTEM"""," ""Type Load"""," "" class=java.lang.String"""
main,28," ""ClientA2.java:14"""," ""New Object"""," "" object=java.lang.String[]:1"""
main,29," ""ClientA2.java:14"""," ""Variable Write"""," "" context=ClientA2#main:1"," args=java.lang.String[]:1"""
main,30," ""ClientA2.java:18"""," ""Line Step"""," "" file=ClientA2.java"," line=18"""
main,31," ""ClientA2.java:18"""," ""Variable Write"""," "" context=ClientA2#main:1"," scn=java.util.Scanner (id=46)"""
main,32," ""ClientA2.java:21"""," ""Line Step"""," "" file=ClientA2.java"," line=21"""
main,33," ""ClientA2.java:21"""," ""Variable Write"""," "" context=ClientA2#main:1"," ip=java.net.Inet4Address (id=47)"""
main,34," ""ClientA2.java:24"""," ""Line Step"""," "" file=ClientA2.java"," line=24"""
main,35," ""ClientA2.java:24"""," ""Variable Write"""," "" context=ClientA2#main:1"," s=java.net.Socket (id=50)"""
main,36," ""ClientA2.java:25"""," ""Line Step"""," "" file=ClientA2.java"," line=25"""
main,37," ""ClientA2.java:25"""," ""Variable Write"""," "" context=ClientA2#main:1"," sock=""""Socket[addr=localhost/127.0.0.1",port=5056,"localport=44760]"""""""
ClientA2,38, ,Method Exit
ServerA,39, ,Method Call
main,40," ""ServerA.java:31"""," ""Line Step"""," "" file=ServerA.java"," line=31"""
main,41," ""ServerA.java:36"""," ""Line Step"""," "" file=ServerA.java"," line=36"""
main,42," ""ServerA.java:39"""," ""Line Step"""," "" file=ServerA.java"," line=39"""
main,43," ""SYSTEM"""," ""Type Load"""," "" class=java.lang.Thread"""
main,44," ""SYSTEM"""," ""Type Load"""," "" class=ClientHandler"""
main,45," ""ServerA.java:39"""," ""New Object"""," "" object=ClientHandler:1"""
main,46," ""ServerA.java:39"""," ""Method Call"""," "" caller=ServerA#main:1"," target=ClientHandler:1#ClientHandler:1"""
main,47," ""ServerA.java:66"""," ""Method Entered"""," "" """
main,48," ""ServerA.java:66"""," ""Variable Write"""," "" context=ClientHandler:1#ClientHandler:1"," s=java.net.Socket (id=27)"""
main,49," ""ServerA.java:66"""," ""Line Step"""," "" file=ServerA.java"," line=66"""
main,50," ""ServerA.java:57"""," ""Line Step"""," "" file=ServerA.java"," line=57"""
main,51," ""ServerA.java:57"""," ""Field Write"""," "" context=ClientHandler:1"," fordate=java.text.SimpleDateFormat (id=58)"""
main,52," ""ServerA.java:58"""," ""Line Step"""," "" file=ServerA.java"," line=58"""
main,53," ""ServerA.java:58"""," ""Field Write"""," "" context=ClientHandler:1"," fortime=java.text.SimpleDateFormat (id=60)"""
main,54," ""ServerA.java:59"""," ""Line Step"""," "" file=ServerA.java"," line=59"""
main,55," ""ServerA.java:59"""," ""Field Write"""," "" context=ClientHandler:1"," dis=null"""
main,56," ""ServerA.java:60"""," ""Line Step"""," "" file=ServerA.java"," line=60"""
main,57," ""ServerA.java:60"""," ""Field Write"""," "" context=ClientHandler:1"," dos=null"""
main,58," ""ServerA.java:68"""," ""Line Step"""," "" file=ServerA.java"," line=68"""
main,59," ""ServerA.java:68"""," ""Field Write"""," "" context=ClientHandler:1"," s=java.net.Socket (id=27)"""
main,60," ""ServerA.java:69"""," ""Line Step"""," "" file=ServerA.java"," line=69"""
main,61," ""ServerA.java:69"""," ""Method Exit"""," "" returner=ClientHandler:1#ClientHandler:1"," value=<void>"""
main,62," ""ServerA.java:39"""," ""Method Returned"""," "" """
main,63," ""ServerA.java:39"""," ""Line Step"""," "" file=ServerA.java"," line=39"""
main,64," ""ServerA.java:39"""," ""Variable Write"""," "" context=ServerA#main:1"," t=ClientHandler:1"""
main,65," ""ServerA.java:42"""," ""Line Step"""," "" file=ServerA.java"," line=42"""
main,66," ""ServerA.java:45"""," ""Line Step"""," "" file=ServerA.java"," line=45"""
Thread-0,67," ""SYSTEM"""," ""Thread Start"""," "" Thread-0 (31)"""
Thread-0,68," ""ServerA.java:81"""," ""Method Call"""," "" caller=SYSTEM"," target=ClientHandler:1#run:1"""
Thread-0,69," ""ServerA.java:72"""," ""Method Entered"""," "" """
main,70," ""ServerA.java:23"""," ""Line Step"""," "" file=ServerA.java"," line=23"""
main,71," ""ServerA.java:23"""," ""Variable Write"""," "" context=ServerA#main:1"," s=null"""
Thread-0,72," ""ServerA.java:81"""," ""Field Read"""," "" context=ClientHandler:1"," s"""
main,73," ""ServerA.java:23"""," ""Variable Delete"""," "" method=ServerA#main:1 <name=sock",type=java.lang.String (id=25),value=<?>,"index=3>"""
main,74," ""ServerA.java:23"""," ""Variable Delete"""," "" method=ServerA#main:1 <name=t",type=java.lang.Thread (id=97),value=<?>,"index=4>"""
main,75," ""ServerA.java:28"""," ""Line Step"""," "" file=ServerA.java"," line=28"""
Thread-0,76," ""ServerA.java:81"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," dos=java.io.DataOutputStream (id=61)"""
ServerA,77, ,Method Exit
ClientA2,78, ,Method Call
main,79," ""ClientA2.java:34"""," ""Line Step"""," "" file=ClientA2.java"," line=34"""
main,80," ""ClientA2.java:34"""," ""Variable Write"""," "" context=ClientA2#main:1"," dis=java.io.DataInputStream (id=53)"""
ClientA2,81, ,Method Exit
ServerA,82, ,Method Call
Thread-0,83," ""ServerA.java:82"""," ""Line Step"""," "" file=ServerA.java"," line=82"""
Thread-0,84," ""ServerA.java:86"""," ""Line Step"""," "" file=ServerA.java"," line=86"""
Thread-0,85," ""ServerA.java:86"""," ""Field Read"""," "" context=ClientHandler:1"," s"""
Thread-0,86," ""ServerA.java:86"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," dis=java.io.DataInputStream (id=64)"""
ServerA,87, ,Method Exit
ClientA2,88, ,Method Call
main,89," ""ClientA2.java:35"""," ""Line Step"""," "" file=ClientA2.java"," line=35"""
main,90," ""ClientA2.java:36"""," ""Line Step"""," "" file=ClientA2.java"," line=36"""
main,91," ""ClientA2.java:36"""," ""Variable Write"""," "" context=ClientA2#main:1"," tosend=""""Date"""""""
main,92," ""ClientA2.java:37"""," ""Line Step"""," "" file=ClientA2.java"," line=37"""
main,93," ""ClientA2.java:37"""," ""Variable Write"""," "" context=ClientA2#main:1"," dos=java.io.DataOutputStream (id=57)"""
ClientA2,94, ,Method Exit
ServerA,95, ,Method Call
Thread-0,96," ""ServerA.java:87"""," ""Line Step"""," "" file=ServerA.java"," line=87"""
Thread-0,97," ""ServerA.java:87"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," received=""""Date"""""""
Thread-0,98," ""ServerA.java:89"""," ""Line Step"""," "" file=ServerA.java"," line=89"""
Thread-0,99," ""ServerA.java:100"""," ""Line Step"""," "" file=ServerA.java"," line=100"""
Thread-0,100," ""ServerA.java:100"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," date=""""Sun Mar 15 09:57:35 IST 2020"""""""
Thread-0,101," ""ServerA.java:104"""," ""Line Step"""," "" file=ServerA.java"," line=104"""
Thread-0,102," ""ServerA.java:107"""," ""Line Step"""," "" file=ServerA.java"," line=107"""
Thread-0,103," ""ServerA.java:107"""," ""Field Read"""," "" context=ClientHandler:1"," fordate"""
Thread-0,104," ""ServerA.java:107"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," toreturn=""""2020/03/15"""""""
Thread-0,105," ""ServerA.java:108"""," ""Line Step"""," "" file=ServerA.java"," line=108"""
Thread-0,106," ""ServerA.java:109"""," ""Line Step"""," "" file=ServerA.java"," line=109"""
Thread-0,107," ""ServerA.java:81"""," ""Line Step"""," "" file=ServerA.java"," line=81"""
Thread-0,108," ""ServerA.java:81"""," ""Field Read"""," "" context=ClientHandler:1"," s"""
Thread-0,109," ""ServerA.java:81"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," dos=java.io.DataOutputStream (id=75)"""
ServerA,110, ,Method Exit
ClientA2,111, ,Method Call
main,112," ""ClientA2.java:38"""," ""Line Step"""," "" file=ClientA2.java"," line=38"""
main,113," ""ClientA2.java:42"""," ""Line Step"""," "" file=ClientA2.java"," line=42"""
main,114," ""ClientA2.java:52"""," ""Line Step"""," "" file=ClientA2.java"," line=52"""
main,115," ""ClientA2.java:52"""," ""Variable Write"""," "" context=ClientA2#main:1"," received=""""2020/03/15"""""""
main,116," ""ClientA2.java:53"""," ""Line Step"""," "" file=ClientA2.java"," line=53"""
main,117," ""ClientA2.java:32"""," ""Line Step"""," "" file=ClientA2.java"," line=32"""
main,118," ""ClientA2.java:32"""," ""Variable Delete"""," "" method=ClientA2#main:1 <name=dis",type=java.io.DataInputStream (unresolved),value=<?>,"index=5>"""
main,119," ""ClientA2.java:32"""," ""Variable Delete"""," "" method=ClientA2#main:1 <name=tosend",type=java.lang.String (id=25),value=<?>,"index=6>"""
main,120," ""ClientA2.java:32"""," ""Variable Delete"""," "" method=ClientA2#main:1 <name=dos",type=java.io.DataOutputStream (unresolved),value=<?>,"index=7>"""
main,121," ""ClientA2.java:32"""," ""Variable Delete"""," "" method=ClientA2#main:1 <name=received",type=java.lang.String (id=25),value=<?>,"index=8>"""
main,122," ""ClientA2.java:34"""," ""Line Step"""," "" file=ClientA2.java"," line=34"""
main,123," ""ClientA2.java:34"""," ""Variable Write"""," "" context=ClientA2#main:1"," dis=java.io.DataInputStream (id=61)"""
ClientA2,124, ,Method Exit
ServerA,125, ,Method Call
Thread-0,126," ""ServerA.java:82"""," ""Line Step"""," "" file=ServerA.java"," line=82"""
Thread-0,127," ""ServerA.java:82"""," ""Variable Delete"""," "" method=ClientHandler:1#run:1 <name=dis",type=java.io.DataInputStream (unresolved),value=java.io.DataInputStream (id=88),"index=3>"""
Thread-0,128," ""ServerA.java:86"""," ""Line Step"""," "" file=ServerA.java"," line=86"""
Thread-0,129," ""ServerA.java:86"""," ""Field Read"""," "" context=ClientHandler:1"," s"""
Thread-0,130," ""ServerA.java:86"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," dis=java.io.DataInputStream (id=76)"""
ServerA,131, ,Method Exit
ClientA2,132, ,Method Call
main,133," ""ClientA2.java:35"""," ""Line Step"""," "" file=ClientA2.java"," line=35"""
main,134," ""ClientA2.java:36"""," ""Line Step"""," "" file=ClientA2.java"," line=36"""
main,135," ""ClientA2.java:36"""," ""Variable Write"""," "" context=ClientA2#main:1"," tosend=""""Time"""""""
main,136," ""ClientA2.java:37"""," ""Line Step"""," "" file=ClientA2.java"," line=37"""
main,137," ""ClientA2.java:37"""," ""Variable Write"""," "" context=ClientA2#main:1"," dos=java.io.DataOutputStream (id=63)"""
ClientA2,138, ,Method Exit
ServerA,139, ,Method Call
Thread-0,140," ""ServerA.java:87"""," ""Line Step"""," "" file=ServerA.java"," line=87"""
Thread-0,141," ""ServerA.java:87"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," received=""""Time"""""""
Thread-0,142," ""ServerA.java:89"""," ""Line Step"""," "" file=ServerA.java"," line=89"""
Thread-0,143," ""ServerA.java:89"""," ""Variable Delete"""," "" method=ClientHandler:1#run:1 <name=date",type=java.util.Date (unresolved),"value=""""Sun Mar 15 09:57:41 IST 2020""""","index=5>"""
Thread-0,144," ""ServerA.java:100"""," ""Line Step"""," "" file=ServerA.java"," line=100"""
Thread-0,145," ""ServerA.java:100"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," date=""""Sun Mar 15 09:57:39 IST 2020"""""""
Thread-0,146," ""ServerA.java:104"""," ""Line Step"""," "" file=ServerA.java"," line=104"""
Thread-0,147," ""ServerA.java:112"""," ""Line Step"""," "" file=ServerA.java"," line=112"""
Thread-0,148," ""ServerA.java:112"""," ""Field Read"""," "" context=ClientHandler:1"," fortime"""
Thread-0,149," ""ServerA.java:112"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," toreturn=""""09:57:39"""""""
Thread-0,150," ""ServerA.java:113"""," ""Line Step"""," "" file=ServerA.java"," line=113"""
Thread-0,151," ""ServerA.java:114"""," ""Line Step"""," "" file=ServerA.java"," line=114"""
Thread-0,152," ""ServerA.java:81"""," ""Line Step"""," "" file=ServerA.java"," line=81"""
Thread-0,153," ""ServerA.java:81"""," ""Field Read"""," "" context=ClientHandler:1"," s"""
Thread-0,154," ""ServerA.java:81"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," dos=java.io.DataOutputStream (id=81)"""
ServerA,155, ,Method Exit
ClientA2,156, ,Method Call
main,157," ""ClientA2.java:38"""," ""Line Step"""," "" file=ClientA2.java"," line=38"""
main,158," ""ClientA2.java:42"""," ""Line Step"""," "" file=ClientA2.java"," line=42"""
main,159," ""ClientA2.java:52"""," ""Line Step"""," "" file=ClientA2.java"," line=52"""
main,160," ""ClientA2.java:52"""," ""Variable Write"""," "" context=ClientA2#main:1"," received=""""09:57:39"""""""
main,161," ""ClientA2.java:53"""," ""Line Step"""," "" file=ClientA2.java"," line=53"""
main,162," ""ClientA2.java:32"""," ""Line Step"""," "" file=ClientA2.java"," line=32"""
main,163," ""ClientA2.java:32"""," ""Variable Delete"""," "" method=ClientA2#main:1 <name=dis",type=java.io.DataInputStream (unresolved),value=<?>,"index=5>"""
main,164," ""ClientA2.java:32"""," ""Variable Delete"""," "" method=ClientA2#main:1 <name=tosend",type=java.lang.String (id=25),value=<?>,"index=6>"""
main,165," ""ClientA2.java:32"""," ""Variable Delete"""," "" method=ClientA2#main:1 <name=dos",type=java.io.DataOutputStream (unresolved),value=<?>,"index=7>"""
main,166," ""ClientA2.java:32"""," ""Variable Delete"""," "" method=ClientA2#main:1 <name=received",type=java.lang.String (id=25),value=<?>,"index=8>"""
main,167," ""ClientA2.java:34"""," ""Line Step"""," "" file=ClientA2.java"," line=34"""
main,168," ""ClientA2.java:34"""," ""Variable Write"""," "" context=ClientA2#main:1"," dis=java.io.DataInputStream (id=65)"""
ClientA2,169, ,Method Exit
ServerA,170, ,Method Call
Thread-0,171," ""ServerA.java:82"""," ""Line Step"""," "" file=ServerA.java"," line=82"""
Thread-0,172," ""ServerA.java:82"""," ""Variable Delete"""," "" method=ClientHandler:1#run:1 <name=dis",type=java.io.DataInputStream (unresolved),value=java.io.DataInputStream (id=88),"index=3>"""
Thread-0,173," ""ServerA.java:86"""," ""Line Step"""," "" file=ServerA.java"," line=86"""
Thread-0,174," ""ServerA.java:86"""," ""Field Read"""," "" context=ClientHandler:1"," s"""
Thread-0,175," ""ServerA.java:86"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," dis=java.io.DataInputStream (id=82)"""
ServerA,176, ,Method Exit
ClientA2,177, ,Method Call
main,178," ""ClientA2.java:35"""," ""Line Step"""," "" file=ClientA2.java"," line=35"""
main,179," ""ClientA2.java:36"""," ""Line Step"""," "" file=ClientA2.java"," line=36"""
main,180," ""ClientA2.java:36"""," ""Variable Write"""," "" context=ClientA2#main:1"," tosend=""""Date"""""""
main,181," ""ClientA2.java:37"""," ""Line Step"""," "" file=ClientA2.java"," line=37"""
main,182," ""ClientA2.java:37"""," ""Variable Write"""," "" context=ClientA2#main:1"," dos=java.io.DataOutputStream (id=67)"""
ClientA2,183, ,Method Exit
ServerA,184, ,Method Call
Thread-0,185," ""ServerA.java:87"""," ""Line Step"""," "" file=ServerA.java"," line=87"""
Thread-0,186," ""ServerA.java:87"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," received=""""Date"""""""
Thread-0,187," ""ServerA.java:89"""," ""Line Step"""," "" file=ServerA.java"," line=89"""
Thread-0,188," ""ServerA.java:89"""," ""Variable Delete"""," "" method=ClientHandler:1#run:1 <name=date",type=java.util.Date (unresolved),"value=""""Sun Mar 15 09:57:41 IST 2020""""","index=5>"""
Thread-0,189," ""ServerA.java:100"""," ""Line Step"""," "" file=ServerA.java"," line=100"""
Thread-0,190," ""ServerA.java:100"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," date=""""Sun Mar 15 09:57:41 IST 2020"""""""
Thread-0,191," ""ServerA.java:104"""," ""Line Step"""," "" file=ServerA.java"," line=104"""
Thread-0,192," ""ServerA.java:107"""," ""Line Step"""," "" file=ServerA.java"," line=107"""
Thread-0,193," ""ServerA.java:107"""," ""Field Read"""," "" context=ClientHandler:1"," fordate"""
Thread-0,194," ""ServerA.java:107"""," ""Variable Write"""," "" context=ClientHandler:1#run:1"," toreturn=""""2020/03/15"""""""
